Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
74,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,26-102,1997,15.9,529,2960,1168,9,11,1,18,12,568,16,Matches
75,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,23-316,2000,17.4,336,1460,799,6,4,0,19,4,365,17,Matches
76,Hugo Álvarez,es ESP,MF,Celta Vigo,es La Liga,20-216,2003,0.4,18,87,59,1,2,0,1,1,19,5,Matches
77,Julián Álvarez,ar ARG,"MF,FW",Manchester City,eng Premier League,24-003,2000,19.6,567,2757,1290,37,37,13,36,19,687,108,Matches
78,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,29-010,1995,4.1,124,647,416,5,2,0,2,0,130,2,Matches
79,Skelly Alvero,fr FRA,MF,Lyon,fr Ligue 1,21-275,2002,4.7,182,869,321,3,4,0,8,7,171,13,Matches
80,Papa Amadou Diallo,sn SEN,"FW,MF",Metz,fr Ligue 1,19-223,2004,3,83,584,197,7,5,1,11,2,70,21,Matches
81,Selim Amallah,ma MAR,"MF,FW",Valencia,es La Liga,27-080,1996,5.4,155,850,333,7,11,1,22,11,167,33,Matches
82,Amath,sn SEN,"FW,MF",Mallorca,es La Liga,27-202,1996,4.4,119,830,478,19,8,9,22,8,130,30,Matches
83,Lorenzo Amatucci,it ITA,MF,Fiorentina,it Serie A,19-363,2004,0.2,13,52,17,1,0,0,0,0,17,1,Matches
84,Zeki Amdouni,ch SUI,FW,Burnley,eng Premier League,23-061,2000,16.8,366,2603,1290,48,23,15,49,21,399,73,Matches
85,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,25-360,1998,1,31,291,170,7,3,0,1,1,30,2,Matches
86,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,22-031,2002,6.4,190,918,402,2,3,0,8,1,188,2,Matches
87,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,27-357,1996,7.1,292,1383,481,4,10,2,7,6,271,38,Matches
88,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,27-099,1996,1,57,313,187,5,4,1,2,0,96,6,Matches
89,Kofi Amoako,de GER,MF,Wolfsburg,de Bundesliga,18-273,2005,0,1,0,0,0,0,0,0,0,1,0,Matches
90,Sofyan Amrabat,ma MAR,"MF,DF",Manchester Utd,eng Premier League,27-166,1996,6.8,323,1640,700,5,7,0,6,7,355,8,Matches
91,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,27-248,1996,22,862,4828,3011,19,9,0,6,5,1002,6,Matches
92,Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,eng Premier League,21-089,2002,4.6,150,925,436,14,11,2,15,10,176,33,Matches
93,Felipe Anderson,br BRA,FW,Lazio,it Serie A,30-294,1993,16.6,485,2895,1565,65,34,16,31,16,695,128,Matches
94,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,33-184,1990,17.3,1096,5144,2107,13,27,1,20,12,1025,20,Matches
95,Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,28-217,1995,1.4,42,183,37,0,3,1,4,4,48,20,Matches
96,Robert Andrich,de GER,"MF,DF",Leverkusen,de Bundesliga,29-134,1994,5.8,287,1322,702,3,8,0,5,2,431,6,Matches
97,Miguel Ángel Rubio,es ESP,DF,Granada,es La Liga,25-329,1998,6.3,191,973,542,1,3,0,6,0,211,0,Matches
98,Fabrizio Angileri,ar ARG,"DF,MF",Getafe,es La Liga,29-325,1994,1.1,32,134,59,1,2,0,1,0,36,4,Matches
99,Jaidon Anthony,eng ENG,FW,Bournemouth,eng Premier League,24-064,1999,1.7,36,160,77,2,2,0,5,2,40,9,Matches
100,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,27-198,1996,18.6,1127,6771,3693,28,15,4,19,6,1230,11,Matches
101,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,33-312,1990,9,165,1165,619,25,10,10,34,14,184,46,Matches
102,Antony,br BRA,FW,Manchester Utd,eng Premier League,23-344,2000,10.3,394,2591,1299,32,27,13,19,15,406,111,Matches
103,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,de Bundesliga,29-361,1994,9.8,220,1553,777,37,17,11,26,16,264,99,Matches
104,Houssem Aouar,dz ALG,MF,Roma,it Serie A,25-218,1998,4.9,162,915,420,12,11,3,5,8,175,18,Matches
105,Stredair Appuah,fr FRA,FW,Nantes,fr Ligue 1,19-221,2004,0.3,9,53,18,1,0,1,0,0,9,0,Matches
106,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,28-126,1995,3.8,110,548,214,2,6,0,5,5,104,6,Matches
107,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,21-195,2002,1.5,41,170,81,1,0,0,2,1,47,7,Matches
108,Julian Araujo,mx MEX,DF,Las Palmas,es La Liga,22-174,2001,11.1,304,1197,633,20,10,3,24,1,368,26,Matches
109,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,24-333,1999,14.4,723,4010,2499,20,14,1,13,3,838,9,Matches
110,Cameron Archer,eng ENG,"FW,MF",Sheffield Utd,eng Premier League,22-197,2001,14.9,261,1609,706,24,21,13,47,32,283,73,Matches
111,Cameron Archer,eng ENG,MF,Aston Villa,eng Premier League,22-197,2001,0.1,5,39,28,1,1,0,1,0,7,0,Matches
112,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,30-341,1993,19,318,2053,1256,0,1,0,0,0,226,0,Matches
113,Adu Ares,es ESP,FW,Athletic Club,es La Liga,22-114,2001,1.4,48,345,150,4,1,2,4,3,50,23,Matches
114,Jesús Areso,es ESP,DF,Osasuna,es La Liga,24-216,1999,15.5,383,2115,1062,32,27,4,32,10,448,88,Matches
115,Matias Arezo,uy URU,FW,Granada,es La Liga,21-074,2002,1.6,19,122,65,2,1,2,1,3,28,5,Matches
116,Yoël Armougom,fr FRA,"DF,MF",Clermont Foot,fr Ligue 1,25-243,1998,0.6,29,186,110,1,1,0,0,0,30,9,Matches
117,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,28-294,1995,6.1,141,890,445,9,9,3,19,14,157,40,Matches
118,Hákon Arnar Haraldsson,is ISL,"FW,MF",Lille,fr Ligue 1,20-299,2003,4.3,205,1040,472,10,9,3,9,3,193,24,Matches
119,Marko Arnautović,at AUT,FW,Inter,it Serie A,34-290,1989,4.3,101,341,119,5,3,3,12,6,124,34,Matches
120,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,29-252,1994,12.9,422,2057,946,12,7,0,9,5,524,11,Matches
121,Mohamed El Arouch,fr FRA,FW,Lyon,fr Ligue 1,19-303,2004,0,1,8,6,0,0,0,0,0,0,0,Matches
122,Sergio Arribas,es ESP,"MF,FW",Almería,es La Liga,22-126,2001,16.5,375,2021,1081,34,22,8,28,13,423,67,Matches
123,Kepa Arrizabalaga,es ESP,GK,Real Madrid,es La Liga,29-123,1994,12,281,1130,729,0,0,0,0,0,268,0,Matches
124,Arthur,br BRA,DF,Leverkusen,de Bundesliga,20-323,2003,0.4,14,125,90,2,2,0,0,0,16,4,Matches
