Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
56,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,32-278,1991,19.8,50,29,22,25,3,22,64,34.4,42,40,9,31,20,70,37,0,Matches
57,Omar Alderete,py PAR,DF,Getafe,es La Liga,27-039,1996,10.1,8,7,6,2,0,5,12,41.7,7,16,9,7,4,12,55,0,Matches
58,Iván Alejo,es ESP,MF,Cádiz,es La Liga,28-358,1995,15.3,31,14,19,7,5,14,50,28,36,17,0,17,3,34,16,0,Matches
59,Carles Aleñá,es ESP,MF,Getafe,es La Liga,26-029,1998,7.5,13,5,4,7,2,4,13,30.8,9,12,3,9,3,16,9,0,Matches
60,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,25-119,1998,16.9,26,18,17,8,1,18,59,30.5,41,12,1,11,22,48,37,3,Matches
61,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,20-015,2004,2.8,4,3,3,1,0,2,7,28.6,5,6,0,6,1,5,1,0,Matches
62,Mohamed Ali Cho,fr FRA,FW,Nice,fr Ligue 1,20-015,2004,1,1,1,0,1,0,0,1,0,1,1,0,1,1,2,2,0,Matches
63,Yanis Ali Issoufou,fr FRA,FW,Montpellier,fr Ligue 1,17-098,2006,0.1,,0,,,,,,,,,,,0,,,,Matches
64,Faride Alidou,de GER,"FW,MF",Köln,de Bundesliga,22-200,2001,4.2,6,1,3,2,1,2,8,25,6,10,1,9,3,9,4,1,Matches
65,Nabil Alioui,fr FRA,"MF,FW",Le Havre,fr Ligue 1,24-350,1999,11.2,3,2,2,1,0,2,4,50,2,6,1,5,3,6,4,0,Matches
66,Alisson,br BRA,GK,Liverpool,eng Premier League,31-124,1992,20,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,2,Matches
67,Jim Allevinah,ga GAB,"DF,MF",Clermont Foot,fr Ligue 1,28-341,1995,14,20,11,7,9,4,10,26,38.5,16,17,3,14,9,29,18,0,Matches
68,Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,es La Liga,23-249,2000,5.3,11,6,3,6,2,5,10,50,5,4,0,4,2,13,2,0,Matches
69,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,29-358,1994,16.4,32,21,10,15,7,11,24,45.8,13,23,2,21,8,40,10,0,Matches
70,Pontus Almqvist,se SWE,FW,Lecce,it Serie A,24-208,1999,14.4,26,17,10,13,3,11,29,37.9,18,15,0,15,10,36,8,0,Matches
71,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,33-037,1990,1.8,5,3,2,3,0,3,4,75,1,2,0,2,4,9,3,0,Matches
72,Adrià Altimira,es ESP,"DF,MF",Villarreal,es La Liga,22-312,2001,8.6,16,7,9,6,1,9,24,37.5,15,18,5,13,5,21,18,0,Matches
73,Sergi Altimira,es ESP,MF,Betis,es La Liga,22-162,2001,4.4,13,7,7,5,1,9,19,47.4,10,11,1,10,6,19,8,0,Matches
74,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,26-102,1997,15.9,46,25,27,16,3,19,35,54.3,16,30,11,19,19,65,58,0,Matches
75,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,23-316,2000,17.4,42,23,30,10,2,21,32,65.6,11,24,8,16,27,69,54,0,Matches
76,Hugo Álvarez,es ESP,MF,Celta Vigo,es La Liga,20-216,2003,0.4,1,1,0,0,1,1,2,50,1,1,0,1,1,2,0,0,Matches
77,Julián Álvarez,ar ARG,"MF,FW",Manchester City,eng Premier League,24-003,2000,19.6,13,6,2,5,6,4,18,22.2,14,19,0,19,1,14,11,0,Matches
78,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,29-010,1995,4.1,7,6,6,1,0,3,5,60,2,2,2,0,4,11,12,0,Matches
79,Skelly Alvero,fr FRA,MF,Lyon,fr Ligue 1,21-275,2002,4.7,8,7,5,2,1,2,9,22.2,7,5,1,4,2,10,5,0,Matches
80,Papa Amadou Diallo,sn SEN,"FW,MF",Metz,fr Ligue 1,19-223,2004,3,4,2,1,2,1,2,5,40,3,3,0,3,4,8,2,0,Matches
81,Selim Amallah,ma MAR,"MF,FW",Valencia,es La Liga,27-080,1996,5.4,14,9,6,5,3,3,8,37.5,5,11,0,11,10,24,4,0,Matches
82,Amath,sn SEN,"FW,MF",Mallorca,es La Liga,27-202,1996,4.4,9,6,7,2,0,2,10,20,8,2,0,2,3,12,6,0,Matches
83,Lorenzo Amatucci,it ITA,MF,Fiorentina,it Serie A,19-363,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
84,Zeki Amdouni,ch SUI,FW,Burnley,eng Premier League,23-061,2000,16.8,22,14,1,11,10,6,21,28.6,15,15,7,8,5,27,7,0,Matches
85,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,25-360,1998,1,2,2,1,1,0,1,2,50,1,0,0,0,0,2,1,0,Matches
86,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,22-031,2002,6.4,11,3,9,2,0,4,5,80,1,4,2,2,9,20,19,2,Matches
87,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,27-357,1996,7.1,14,6,7,4,3,8,11,72.7,3,5,1,4,5,19,13,0,Matches
88,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,27-099,1996,1,4,2,0,3,1,0,3,0,3,0,0,0,0,4,1,0,Matches
89,Kofi Amoako,de GER,MF,Wolfsburg,de Bundesliga,18-273,2005,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
90,Sofyan Amrabat,ma MAR,"MF,DF",Manchester Utd,eng Premier League,27-166,1996,6.8,21,13,12,7,2,14,22,63.6,8,12,3,9,4,25,11,1,Matches
91,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,27-248,1996,22,31,19,23,7,1,17,23,73.9,6,23,15,8,22,53,111,1,Matches
92,Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,eng Premier League,21-089,2002,4.6,8,6,3,4,1,3,9,33.3,6,6,3,3,2,10,6,0,Matches
93,Felipe Anderson,br BRA,FW,Lazio,it Serie A,30-294,1993,16.6,41,24,14,16,11,20,47,42.6,27,22,0,22,20,61,15,0,Matches
94,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,33-184,1990,17.3,55,29,25,26,4,24,51,47.1,27,22,4,18,19,74,39,0,Matches
95,Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,28-217,1995,1.4,2,1,0,1,1,0,1,0,1,2,0,2,0,2,1,0,Matches
96,Robert Andrich,de GER,"MF,DF",Leverkusen,de Bundesliga,29-134,1994,5.8,5,4,0,4,1,2,5,40,3,7,2,5,8,13,9,0,Matches
97,Miguel Ángel Rubio,es ESP,DF,Granada,es La Liga,25-329,1998,6.3,8,4,5,3,0,7,8,87.5,1,14,8,6,12,20,23,1,Matches
98,Fabrizio Angileri,ar ARG,"DF,MF",Getafe,es La Liga,29-325,1994,1.1,0,0,0,0,0,0,2,0,2,0,0,0,2,2,5,0,Matches
99,Jaidon Anthony,eng ENG,FW,Bournemouth,eng Premier League,24-064,1999,1.7,3,1,1,0,2,1,7,14.3,6,3,0,3,1,4,3,0,Matches
100,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,27-198,1996,18.6,22,16,9,12,1,13,24,54.2,11,17,10,7,26,48,79,1,Matches
101,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,33-312,1990,9,8,4,3,3,2,3,4,75,1,9,3,6,1,9,1,0,Matches
102,Antony,br BRA,FW,Manchester Utd,eng Premier League,23-344,2000,10.3,27,14,10,12,5,15,29,51.7,14,20,1,19,8,35,4,0,Matches
103,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,de Bundesliga,29-361,1994,9.8,15,8,7,5,3,7,17,41.2,10,8,2,6,1,16,8,1,Matches
104,Houssem Aouar,dz ALG,MF,Roma,it Serie A,25-218,1998,4.9,12,9,3,8,1,2,8,25,6,4,0,4,4,16,1,0,Matches
105,Stredair Appuah,fr FRA,FW,Nantes,fr Ligue 1,19-221,2004,0.3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Matches
106,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,28-126,1995,3.8,6,2,3,2,1,1,6,16.7,5,1,0,1,2,8,7,0,Matches
107,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,21-195,2002,1.5,4,2,3,1,0,1,1,100,0,0,0,0,1,5,5,0,Matches
108,Julian Araujo,mx MEX,DF,Las Palmas,es La Liga,22-174,2001,11.1,27,15,18,5,4,17,26,65.4,9,16,10,6,8,35,39,1,Matches
109,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,24-333,1999,14.4,18,15,6,11,1,6,9,66.7,3,15,7,8,8,26,39,2,Matches
110,Cameron Archer,eng ENG,"FW,MF",Sheffield Utd,eng Premier League,22-197,2001,14.9,14,9,6,5,3,6,14,42.9,8,15,3,12,1,15,8,0,Matches
111,Cameron Archer,eng ENG,MF,Aston Villa,eng Premier League,22-197,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
112,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,30-341,1993,19,0,0,0,0,0,0,2,0,2,0,0,0,0,0,8,0,Matches
113,Adu Ares,es ESP,FW,Athletic Club,es La Liga,22-114,2001,1.4,6,3,3,1,2,2,3,66.7,1,1,0,1,1,7,0,0,Matches
114,Jesús Areso,es ESP,DF,Osasuna,es La Liga,24-216,1999,15.5,23,12,12,8,3,16,18,88.9,2,19,7,12,9,32,37,0,Matches
115,Matias Arezo,uy URU,FW,Granada,es La Liga,21-074,2002,1.6,2,0,0,2,0,0,2,0,2,1,0,1,0,2,3,0,Matches
116,Yoël Armougom,fr FRA,"DF,MF",Clermont Foot,fr Ligue 1,25-243,1998,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
117,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,28-294,1995,6.1,7,4,3,2,2,2,14,14.3,12,6,0,6,3,10,1,0,Matches
118,Hákon Arnar Haraldsson,is ISL,"FW,MF",Lille,fr Ligue 1,20-299,2003,4.3,3,3,1,2,0,1,10,10,9,0,0,0,1,4,3,0,Matches
119,Marko Arnautović,at AUT,FW,Inter,it Serie A,34-290,1989,4.3,4,1,2,2,0,2,3,66.7,1,4,1,3,4,8,3,0,Matches
120,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,29-252,1994,12.9,23,17,7,11,5,13,23,56.5,10,9,1,8,18,41,29,0,Matches
121,Mohamed El Arouch,fr FRA,FW,Lyon,fr Ligue 1,19-303,2004,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
122,Sergio Arribas,es ESP,"MF,FW",Almería,es La Liga,22-126,2001,16.5,28,14,14,13,1,10,20,50,10,11,1,10,11,39,5,1,Matches
123,Kepa Arrizabalaga,es ESP,GK,Real Madrid,es La Liga,29-123,1994,12,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,Matches
124,Arthur,br BRA,DF,Leverkusen,de Bundesliga,20-323,2003,0.4,2,2,1,0,1,2,2,100,0,0,0,0,0,2,1,0,Matches
125,Takuma Asano,jp JPN,"FW,MF",Bochum,de Bundesliga,29-085,1994,13.1,10,2,2,4,4,4,13,30.8,9,6,1,5,2,12,8,0,Matches
126,Marco Asensio,es ESP,"FW,MF",Paris S-G,fr Ligue 1,28-013,1996,4.9,4,3,2,2,0,1,3,33.3,2,5,0,5,0,4,2,0,Matches
127,Kristjan Asllani,al ALB,MF,Inter,it Serie A,21-331,2002,2.8,2,0,1,1,0,0,2,0,2,4,1,3,6,8,5,0,Matches
128,Joel Asoro,se SWE,FW,Metz,fr Ligue 1,24-282,1999,8,11,8,6,5,0,3,9,33.3,6,5,0,5,3,14,8,0,Matches
129,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,36-186,1987,17.5,2,1,0,2,0,0,7,0,7,10,2,8,7,9,5,0,Matches
130,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,23-226,2000,11.2,24,12,12,8,4,9,24,37.5,15,9,4,5,9,33,27,1,Matches
131,Youcef Atal,dz ALG,DF,Nice,fr Ligue 1,27-262,1996,4,9,3,6,2,1,6,8,75,2,7,1,6,4,13,1,0,Matches
132,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,18-162,2005,2.3,10,8,2,5,3,3,5,60,2,2,0,2,4,14,1,0,Matches
133,Arthur Atta,fr FRA,MF,Metz,fr Ligue 1,21-020,2003,1.4,3,2,0,1,2,1,4,25,3,2,0,2,2,5,5,0,Matches
134,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,21-254,2002,19,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,Matches
135,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,fr Ligue 1,34-230,1989,15.4,10,6,2,6,2,2,11,18.2,9,13,3,10,7,17,13,0,Matches
136,Tommaso Augello,it ITA,DF,Cagliari,it Serie A,29-157,1994,14.6,17,12,12,3,2,12,17,70.6,5,11,5,6,5,22,36,0,Matches
137,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,23-066,2000,4.3,5,2,2,2,1,3,5,60,2,1,1,0,0,5,9,0,Matches
138,Serge Aurier,ci CIV,"DF,MF",Nott'ham Forest,eng Premier League,31-041,1992,9.3,20,14,9,11,0,5,11,45.5,6,10,3,7,9,29,36,1,Matches
139,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,es La Liga,29-362,1994,9.6,3,2,1,1,1,3,11,27.3,8,14,0,14,4,7,8,0,Matches
140,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,26-175,1997,7.9,5,3,1,3,1,0,1,0,1,3,0,3,0,5,8,0,Matches
141,André Ayew,gh GHA,"MF,FW",Le Havre,fr Ligue 1,34-048,1989,0.6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Matches
142,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,32-145,1991,18.2,43,24,16,17,10,11,26,42.3,15,28,2,26,13,56,9,0,Matches
143,Neil El Aynaoui,fr FRA,MF,Lens,fr Ligue 1,22-216,2001,8.1,14,7,5,7,2,7,19,36.8,12,12,3,9,11,25,10,0,Matches
144,Sardar Azmoun,ir IRN,"FW,MF",Roma,it Serie A,29-033,1995,2.7,6,4,2,3,1,3,7,42.9,4,0,0,0,2,8,3,1,Matches
145,César Azpilicueta,es ESP,DF,Atlético Madrid,es La Liga,34-159,1989,10.6,20,12,11,8,1,10,16,62.5,6,19,4,15,12,32,32,0,Matches
146,Paulo Azzi,br BRA,"DF,MF",Cagliari,it Serie A,29-203,1994,8.1,18,11,9,6,3,8,16,50,8,9,1,8,14,32,20,0,Matches
147,Oussama El Azzouzi,ma MAR,MF,Bologna,it Serie A,22-250,2001,2.2,5,3,1,3,1,3,6,50,3,3,2,1,4,9,6,0,Matches
148,Abdellah Baallal,ma MAR,MF,Clermont Foot,fr Ligue 1,19-088,2004,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
149,Iddrisu Baba,gh GHA,MF,Almería,es La Liga,28-012,1996,10.8,31,18,16,15,0,10,25,40,15,10,2,8,11,42,14,1,Matches
150,Srđan Babić,rs SRB,DF,Almería,es La Liga,27-287,1996,1,2,2,0,2,0,1,1,100,0,1,1,0,0,2,2,0,Matches
151,Shavy Babicka,ga GAB,FW,Toulouse,fr Ligue 1,23-247,2000,0.7,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
152,Aliou Badara Baldé,sn SEN,FW,Nice,fr Ligue 1,21-053,2002,0.5,1,1,0,1,0,0,0,,0,1,1,0,1,2,0,0,Matches
153,Loïc Bade,fr FRA,DF,Sevilla,es La Liga,23-298,2000,12.1,26,17,22,4,0,12,21,57.1,9,16,10,6,18,44,59,0,Matches
154,Milan Badelj,hr CRO,MF,Genoa,it Serie A,34-343,1989,15.5,28,15,11,17,0,15,36,41.7,21,23,5,18,31,59,26,0,Matches
155,Matthias Bader,de GER,"DF,MF",Darmstadt 98,de Bundesliga,26-231,1997,12.3,27,15,15,6,6,15,32,46.9,17,11,2,9,17,44,14,0,Matches
156,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,22-314,2001,6.1,13,10,8,5,0,6,10,60,4,9,4,5,5,18,31,1,Matches
157,Alex Baena,es ESP,"MF,FW",Villarreal,es La Liga,22-198,2001,15.6,15,10,5,4,6,7,20,35,13,11,1,10,6,21,6,1,Matches
158,Jaime Báez,uy URU,"FW,MF",Frosinone,it Serie A,28-284,1995,5.5,4,1,0,2,2,0,7,0,7,5,0,5,4,8,1,0,Matches
159,Leon Bailey,jm JAM,"MF,FW",Aston Villa,eng Premier League,26-178,1997,10.6,3,2,1,0,2,1,6,16.7,5,7,0,7,5,8,3,0,Matches
160,Eric Bailly,ci CIV,DF,Villarreal,es La Liga,29-297,1994,3.8,1,1,1,0,0,0,0,,0,2,2,0,8,9,13,1,Matches
161,Nedim Bajrami,al ALB,"MF,FW",Sassuolo,it Serie A,24-340,1999,7.7,6,2,2,3,1,1,4,25,3,2,1,1,4,10,5,0,Matches
162,Tiemoué Bakayoko,fr FRA,MF,Lorient,fr Ligue 1,29-170,1994,5.4,12,9,5,6,1,1,4,25,3,5,3,2,8,20,2,0,Matches
163,Mitchel Bakker,nl NED,DF,Atalanta,it Serie A,23-228,2000,2.5,5,2,5,0,0,1,8,12.5,7,4,0,4,1,6,4,0,Matches
164,Ridle Baku,de GER,"DF,MF",Wolfsburg,de Bundesliga,25-301,1998,10.5,14,7,9,2,3,9,17,52.9,8,14,0,14,11,25,30,1,Matches
165,Dilane Bakwa,fr FRA,"FW,MF",Strasbourg,fr Ligue 1,21-161,2002,13.1,25,19,9,12,4,8,29,27.6,21,10,0,10,15,40,7,0,Matches
166,Tommaso Baldanzi,it ITA,"MF,FW",Empoli,it Serie A,20-317,2003,8.3,4,2,1,1,2,3,10,30,7,7,0,7,2,6,0,0,Matches
