Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,GCA,GCA90
75,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,23-316,2000,17.4,14,0.81,1,0.06
76,Hugo Álvarez,es ESP,MF,Celta Vigo,es La Liga,20-216,2003,0.4,1,2.57,0,0
77,Julián Álvarez,ar ARG,"MF,FW",Manchester City,eng Premier League,24-003,2000,19.6,82,4.18,10,0.51
78,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,29-010,1995,4.1,5,1.23,1,0.25
79,Skelly Alvero,fr FRA,MF,Lyon,fr Ligue 1,21-275,2002,4.7,12,2.54,0,0
80,Papa Amadou Diallo,sn SEN,"FW,MF",Metz,fr Ligue 1,19-223,2004,3,5,1.68,0,0
81,Selim Amallah,ma MAR,"MF,FW",Valencia,es La Liga,27-080,1996,5.4,13,2.39,1,0.18
82,Amath,sn SEN,"FW,MF",Mallorca,es La Liga,27-202,1996,4.4,17,3.87,0,0
83,Lorenzo Amatucci,it ITA,MF,Fiorentina,it Serie A,19-363,2004,0.2,0,0,0,0
84,Zeki Amdouni,ch SUI,FW,Burnley,eng Premier League,23-061,2000,16.8,38,2.27,3,0.18
85,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,25-360,1998,1,1,1,0,0
86,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,22-031,2002,6.4,3,0.47,0,0
87,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,27-357,1996,7.1,7,0.98,1,0.14
88,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,27-099,1996,1,1,1.02,0,0
89,Kofi Amoako,de GER,MF,Wolfsburg,de Bundesliga,18-273,2005,0,0,0,0,0
90,Sofyan Amrabat,ma MAR,"MF,DF",Manchester Utd,eng Premier League,27-166,1996,6.8,8,1.17,0,0
91,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,27-248,1996,22,29,1.32,2,0.09
92,Elliot Anderson,sct SCO,"MF,FW",Newcastle Utd,eng Premier League,21-089,2002,4.6,14,3.07,1,0.22
93,Felipe Anderson,br BRA,FW,Lazio,it Serie A,30-294,1993,16.6,50,3.02,8,0.48
94,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,33-184,1990,17.3,35,2.02,2,0.12
95,Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,28-217,1995,1.4,4,2.86,0,0
96,Robert Andrich,de GER,"MF,DF",Leverkusen,de Bundesliga,29-134,1994,5.8,7,1.22,1,0.17
97,Miguel Ángel Rubio,es ESP,DF,Granada,es La Liga,25-329,1998,6.3,2,0.32,1,0.16
98,Fabrizio Angileri,ar ARG,"DF,MF",Getafe,es La Liga,29-325,1994,1.1,4,3.64,0,0
99,Jaidon Anthony,eng ENG,FW,Bournemouth,eng Premier League,24-064,1999,1.7,3,1.78,0,0
100,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,27-198,1996,18.6,21,1.13,4,0.21
101,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,33-312,1990,9,18,1.99,5,0.55
102,Antony,br BRA,FW,Manchester Utd,eng Premier League,23-344,2000,10.3,36,3.5,1,0.1
103,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,de Bundesliga,29-361,1994,9.8,31,3.16,3,0.31
104,Houssem Aouar,dz ALG,MF,Roma,it Serie A,25-218,1998,4.9,18,3.68,0,0
105,Stredair Appuah,fr FRA,FW,Nantes,fr Ligue 1,19-221,2004,0.3,2,6.92,0,0
106,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,28-126,1995,3.8,9,2.39,0,0
107,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,21-195,2002,1.5,0,0,0,0
108,Julian Araujo,mx MEX,DF,Las Palmas,es La Liga,22-174,2001,11.1,16,1.45,1,0.09
109,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,24-333,1999,14.4,13,0.9,1,0.07
110,Cameron Archer,eng ENG,"FW,MF",Sheffield Utd,eng Premier League,22-197,2001,14.9,32,2.14,1,0.07
111,Cameron Archer,eng ENG,MF,Aston Villa,eng Premier League,22-197,2001,0.1,0,0,0,0
112,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,30-341,1993,19,1,0.05,0,0
113,Adu Ares,es ESP,FW,Athletic Club,es La Liga,22-114,2001,1.4,2,1.45,1,0.73
114,Jesús Areso,es ESP,DF,Osasuna,es La Liga,24-216,1999,15.5,28,1.8,3,0.19
115,Matias Arezo,uy URU,FW,Granada,es La Liga,21-074,2002,1.6,2,1.22,0,0
116,Yoël Armougom,fr FRA,"DF,MF",Clermont Foot,fr Ligue 1,25-243,1998,0.6,1,1.67,0,0
117,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,28-294,1995,6.1,31,5.11,4,0.66
118,Hákon Arnar Haraldsson,is ISL,"FW,MF",Lille,fr Ligue 1,20-299,2003,4.3,10,2.31,0,0
119,Marko Arnautović,at AUT,FW,Inter,it Serie A,34-290,1989,4.3,15,3.48,2,0.46
120,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,29-252,1994,12.9,28,2.18,0,0
121,Mohamed El Arouch,fr FRA,FW,Lyon,fr Ligue 1,19-303,2004,0,0,0,0,0
122,Sergio Arribas,es ESP,"MF,FW",Almería,es La Liga,22-126,2001,16.5,60,3.64,3,0.18
123,Kepa Arrizabalaga,es ESP,GK,Real Madrid,es La Liga,29-123,1994,12,0,0,0,0
124,Arthur,br BRA,DF,Leverkusen,de Bundesliga,20-323,2003,0.4,0,0,0,0
125,Takuma Asano,jp JPN,"FW,MF",Bochum,de Bundesliga,29-085,1994,13.1,38,2.91,2,0.15
126,Marco Asensio,es ESP,"FW,MF",Paris S-G,fr Ligue 1,28-013,1996,4.9,16,3.27,3,0.61
127,Kristjan Asllani,al ALB,MF,Inter,it Serie A,21-331,2002,2.8,6,2.13,2,0.71
128,Joel Asoro,se SWE,FW,Metz,fr Ligue 1,24-282,1999,8,17,2.12,3,0.37
129,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,36-186,1987,17.5,109,6.23,6,0.34
130,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,23-226,2000,11.2,38,3.38,6,0.53
131,Youcef Atal,dz ALG,DF,Nice,fr Ligue 1,27-262,1996,4,12,3.01,1,0.25
132,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,18-162,2005,2.3,3,1.31,0,0
133,Arthur Atta,fr FRA,MF,Metz,fr Ligue 1,21-020,2003,1.4,4,2.88,0,0
134,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,21-254,2002,19,2,0.11,0,0
135,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,fr Ligue 1,34-230,1989,15.4,41,2.66,8,0.52
136,Tommaso Augello,it ITA,DF,Cagliari,it Serie A,29-157,1994,14.6,34,2.33,0,0
137,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,23-066,2000,4.3,8,1.85,0,0
138,Serge Aurier,ci CIV,"DF,MF",Nott'ham Forest,eng Premier League,31-041,1992,9.3,15,1.62,2,0.22
139,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,es La Liga,29-362,1994,9.6,37,3.85,7,0.73
140,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,26-175,1997,7.9,21,2.66,5,0.63
141,André Ayew,gh GHA,"MF,FW",Le Havre,fr Ligue 1,34-048,1989,0.6,1,1.64,0,0
142,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,32-145,1991,18.2,51,2.81,9,0.5
143,Neil El Aynaoui,fr FRA,MF,Lens,fr Ligue 1,22-216,2001,8.1,12,1.48,1,0.12
144,Sardar Azmoun,ir IRN,"FW,MF",Roma,it Serie A,29-033,1995,2.7,7,2.56,2,0.73
145,César Azpilicueta,es ESP,DF,Atlético Madrid,es La Liga,34-159,1989,10.6,18,1.7,2,0.19
146,Paulo Azzi,br BRA,"DF,MF",Cagliari,it Serie A,29-203,1994,8.1,16,1.98,0,0
147,Oussama El Azzouzi,ma MAR,MF,Bologna,it Serie A,22-250,2001,2.2,3,1.36,1,0.45
148,Abdellah Baallal,ma MAR,MF,Clermont Foot,fr Ligue 1,19-088,2004,0,0,0,0,0
149,Iddrisu Baba,gh GHA,MF,Almería,es La Liga,28-012,1996,10.8,15,1.39,0,0
150,Srđan Babić,rs SRB,DF,Almería,es La Liga,27-287,1996,1,3,3,0,0
151,Shavy Babicka,ga GAB,FW,Toulouse,fr Ligue 1,23-247,2000,0.7,1,1.48,0,0
152,Aliou Badara Baldé,sn SEN,FW,Nice,fr Ligue 1,21-053,2002,0.5,1,1.96,0,0
153,Loïc Bade,fr FRA,DF,Sevilla,es La Liga,23-298,2000,12.1,13,1.08,3,0.25
154,Milan Badelj,hr CRO,MF,Genoa,it Serie A,34-343,1989,15.5,32,2.06,7,0.45
155,Matthias Bader,de GER,"DF,MF",Darmstadt 98,de Bundesliga,26-231,1997,12.3,32,2.59,2,0.16
156,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,22-314,2001,6.1,11,1.8,2,0.33
157,Alex Baena,es ESP,"MF,FW",Villarreal,es La Liga,22-198,2001,15.6,70,4.5,10,0.64
158,Jaime Báez,uy URU,"FW,MF",Frosinone,it Serie A,28-284,1995,5.5,16,2.89,2,0.36
159,Leon Bailey,jm JAM,"MF,FW",Aston Villa,eng Premier League,26-178,1997,10.6,49,4.61,6,0.56
160,Eric Bailly,ci CIV,DF,Villarreal,es La Liga,29-297,1994,3.8,2,0.52,1,0.26
161,Nedim Bajrami,al ALB,"MF,FW",Sassuolo,it Serie A,24-340,1999,7.7,23,3,3,0.39
162,Tiemoué Bakayoko,fr FRA,MF,Lorient,fr Ligue 1,29-170,1994,5.4,2,0.37,1,0.18
163,Mitchel Bakker,nl NED,DF,Atalanta,it Serie A,23-228,2000,2.5,2,0.8,0,0
