Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,shortCmp,shortAtt,shortCmp%,longCmp,longAtt,longCmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
153,Loïc Bade,fr FRA,DF,Sevilla,es La Liga,23-298,2000,12.1,521,646,80.7,10464,4400,168,185,90.8,64,117,54.7,1,0.2,0.4,0.8,5,39,1,0,44,Matches
154,Milan Badelj,hr CRO,MF,Genoa,it Serie A,34-343,1989,15.5,584,723,80.8,10004,3384,258,291,88.7,52,96,54.2,2,0.6,1,1.4,10,72,13,4,79,Matches
155,Matthias Bader,de GER,"DF,MF",Darmstadt 98,de Bundesliga,26-231,1997,12.3,441,593,74.4,8084,2479,175,205,85.4,42,87,48.3,1,2,3.1,-1,14,23,16,4,46,Matches
156,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,22-314,2001,6.1,428,474,90.3,7461,3017,181,191,94.8,25,37,67.6,1,0.5,0.6,0.5,3,18,2,0,21,Matches
157,Alex Baena,es ESP,"MF,FW",Villarreal,es La Liga,22-198,2001,15.6,503,692,72.7,9287,2962,230,263,87.5,69,130,53.1,6,4.3,4.6,1.7,37,57,28,7,86,Matches
158,Jaime Báez,uy URU,"FW,MF",Frosinone,it Serie A,28-284,1995,5.5,140,200,70,2282,913,68,87,78.2,16,33,48.5,0,0.5,0.8,-0.5,8,12,9,0,29,Matches
159,Leon Bailey,jm JAM,"MF,FW",Aston Villa,eng Premier League,26-178,1997,10.6,280,386,72.5,4522,1089,153,189,81,25,40,62.5,6,4.6,3.7,1.4,26,18,22,3,38,Matches
160,Eric Bailly,ci CIV,DF,Villarreal,es La Liga,29-297,1994,3.8,138,160,86.3,2444,1090,49,54,90.7,9,14,64.3,0,0,0,0,0,5,0,0,9,Matches
161,Nedim Bajrami,al ALB,"MF,FW",Sassuolo,it Serie A,24-340,1999,7.7,190,248,76.6,2942,756,96,112,85.7,10,26,38.5,0,1,0.8,-1,9,10,4,1,29,Matches
162,Tiemoué Bakayoko,fr FRA,MF,Lorient,fr Ligue 1,29-170,1994,5.4,177,208,85.1,2996,814,81,95,85.3,16,18,88.9,0,0,0.1,0,0,14,0,0,11,Matches
163,Mitchel Bakker,nl NED,DF,Atalanta,it Serie A,23-228,2000,2.5,99,130,76.2,1394,322,67,77,87,4,12,33.3,0,0.1,0.1,-0.1,2,6,0,0,6,Matches
164,Ridle Baku,de GER,"DF,MF",Wolfsburg,de Bundesliga,25-301,1998,10.5,438,569,77,7056,2201,217,246,88.2,35,67,52.2,0,1.6,1.6,-1.6,14,28,14,8,41,Matches
165,Dilane Bakwa,fr FRA,"FW,MF",Strasbourg,fr Ligue 1,21-161,2002,13.1,281,425,66.1,4444,1279,147,189,77.8,25,72,34.7,0,1.2,1.2,-1.2,17,22,15,4,36,Matches
166,Tommaso Baldanzi,it ITA,"MF,FW",Empoli,it Serie A,20-317,2003,8.3,201,257,78.2,3075,751,102,119,85.7,15,22,68.2,0,1,0.8,-1,13,12,11,3,30,Matches
167,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,20-108,2003,15.3,694,817,84.9,9879,2231,430,473,90.9,22,42,52.4,1,1.2,1.5,-0.2,13,26,20,7,41,Matches
168,George Baldock,gr GRE,DF,Sheffield Utd,eng Premier League,30-331,1993,9.3,272,369,73.7,4328,1684,159,180,88.3,18,48,37.5,1,0.7,0.5,0.3,6,17,10,4,30,Matches
169,Carlos Baleba,cm CMR,MF,Brighton,eng Premier League,20-031,2004,6.5,352,380,92.6,5510,1272,179,193,92.7,16,19,84.2,0,0.1,0.1,-0.1,5,14,1,0,26,Matches
170,Carlos Baleba,cm CMR,MF,Lille,fr Ligue 1,20-031,2004,0.7,39,45,86.7,627,100,20,22,90.9,4,6,66.7,0,0,0,0,0,5,0,0,3,Matches
171,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,25-008,1999,12.4,697,804,86.7,13058,4505,259,279,92.8,77,118,65.3,0,0,0.2,0,0,50,0,0,55,Matches
172,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,32-033,1992,18.1,619,824,75.1,10426,4220,313,353,88.7,54,111,48.6,0,1.1,1.4,-1.1,15,38,12,7,50,Matches
173,Fodé Ballo-Touré,sn SEN,DF,Fulham,eng Premier League,27-031,1997,0.6,46,64,71.9,813,200,19,24,79.2,5,5,100,0,0,0,0,0,3,0,0,0,Matches
174,Folarin Balogun,us USA,FW,Monaco,fr Ligue 1,22-215,2001,10.5,161,218,73.9,1990,382,94,114,82.5,3,12,25,3,1.5,1.3,1.5,16,12,8,0,19,Matches
175,Jonathan Bamba,ci CIV,"MF,FW",Celta Vigo,es La Liga,27-314,1996,15.6,398,527,75.5,4971,1410,278,316,88,10,24,41.7,1,3.1,2.4,-2.1,26,18,24,9,48,Matches
176,Muhamad Bamba,ci CIV,MF,Lorient,fr Ligue 1,22-055,2001,0.2,,,,,,,,,,,,0,,,,,,,,,Matches
177,Samuel Bamba,de GER,FW,Dortmund,de Bundesliga,19-355,2004,0.5,14,20,70,207,42,11,12,91.7,2,4,50,0,0.1,0.1,-0.1,1,0,1,0,2,Matches
178,Lameck Banda,zm ZAM,FW,Lecce,it Serie A,23-005,2001,11.9,202,280,72.1,3244,612,106,127,83.5,14,35,40,4,1.8,1,2.2,21,8,14,6,21,Matches
179,Daniel Bandeira,pt POR,MF,Hellas Verona,it Serie A,23-298,2000,0.1,3,3,100,37,5,2,2,100,0,0,,0,0,0,0,0,0,0,0,0,Matches
